transaction_id,date_time,debit_account,credit_account,amount,currency,type,description,generator_tag
GEN_20251108_233103_00037,2025-07-17T11:24:50.054609,1,external,635.85,USD,payment,Study materials [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00038,2025-07-21T09:05:39.054609,10,external,463.29,USD,transfer,Transfer to Sami [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00039,2025-07-21T22:51:44.054609,external,9,956.28,USD,income,Freelance project [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00040,2025-07-22T10:06:08.054609,external,15,288.69,USD,income,Tutoring payment [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00041,2025-07-28T21:18:12.054609,external,8,83.12,USD,income,Scholarship payment [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00042,2025-07-29T12:16:19.054609,6,external,153.32,USD,payment,Online subscription [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00043,2025-07-29T13:49:57.054609,3,external,433.04,USD,transfer,Transfer to Sami [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00044,2025-08-03T15:58:41.054609,12,external,286.41,USD,payment,Transport pass [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00045,2025-08-05T08:55:21.054609,8,external,80.75,USD,payment,Grocery shopping [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00046,2025-08-10T18:59:26.054609,external,16,363.1,USD,income,Refund from bookstore [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00047,2025-08-11T14:00:06.054609,11,external,244.27,USD,transfer,Transfer to Sami [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00048,2025-08-11T22:41:09.054609,external,5,57.08,USD,income,Tutoring payment [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00049,2025-08-17T17:27:04.054609,12,external,288.67,USD,transfer,Transfer to alice [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00050,2025-08-18T19:15:18.054609,15,external,109.71,USD,transfer,Transfer to testuser [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00051,2025-08-19T18:32:07.054609,3,external,354.88,USD,transfer,Transfer to frank [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00052,2025-08-20T10:29:20.054609,external,8,444.48,USD,income,Student grant [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00053,2025-08-21T10:01:06.054609,external,7,286.84,USD,income,Refund from bookstore [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00054,2025-08-22T18:59:03.054609,8,external,457.77,USD,transfer,Transfer to frank [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00055,2025-08-23T18:40:28.054609,11,external,243.17,USD,transfer,Transfer to testuser [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00056,2025-08-26T14:53:25.054609,15,external,907.37,USD,transfer,Transfer to Miha.Ch [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00057,2025-08-30T09:50:28.054609,15,external,31.9,USD,payment,Coffee & snacks [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00058,2025-08-30T23:31:18.054609,12,external,388.63,USD,transfer,Transfer to plampie [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00059,2025-09-01T11:27:35.054609,external,7,208.2,USD,income,Freelance project [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00060,2025-09-03T18:08:23.054609,1,external,134.33,USD,transfer,Transfer to demouser [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00061,2025-09-09T13:29:24.054609,external,1,566.85,USD,income,Refund from bookstore [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00062,2025-09-10T09:50:50.054609,external,11,790.46,USD,income,Scholarship payment [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00063,2025-09-12T19:43:41.054609,external,4,322.17,USD,income,Student grant [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00064,2025-09-13T11:55:40.054609,12,external,258.9,USD,payment,Textbooks [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00065,2025-09-15T23:42:10.054609,7,external,280.3,USD,transfer,Transfer to plampie [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00066,2025-09-16T10:41:59.054609,16,external,422.44,USD,transfer,Transfer to bob [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00067,2025-09-18T10:06:13.054609,1,external,519.27,USD,transfer,Transfer to Sami [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00068,2025-09-22T19:43:53.054609,external,2,198.15,USD,income,Freelance project [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00069,2025-09-23T12:42:40.054609,5,external,289.65,USD,transfer,Transfer to frank [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00070,2025-09-23T18:59:35.054609,external,15,189.9,USD,income,Scholarship payment [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00071,2025-10-01T10:45:49.054609,external,11,471.14,USD,income,Scholarship payment [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00072,2025-10-04T10:19:09.054609,external,5,358.96,USD,income,Part-time job salary [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00073,2025-10-08T12:46:00.054609,12,external,139.26,USD,payment,Study materials [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00074,2025-10-09T20:09:46.054609,external,4,487.44,USD,income,Part-time job salary [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00075,2025-10-12T22:17:29.054609,external,11,245.68,USD,income,Scholarship payment [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00076,2025-10-20T21:55:51.054609,8,external,45.25,USD,transfer,Transfer to alice [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00077,2025-10-21T12:16:06.054609,9,external,239.99,USD,payment,Transport pass [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00078,2025-10-23T09:42:30.054609,external,9,33.49,USD,income,Parent transfer [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00079,2025-10-31T18:24:40.054609,external,11,310.19,USD,income,Student loan disbursement [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
GEN_20251108_233103_00080,2025-11-01T23:22:41.054609,6,external,302.13,USD,transfer,Transfer to alice [HISTORICAL_GEN_2025],HISTORICAL_GEN_2025
